season,match_number,round_number,home_team,away_team,group,home_goals,away_goals,goal_difference_home,result_90min,match_winner,knockout_aggregate,knockout_winner
2021-22,113,9,Man. City,Atlético,,1.0,0.0,1.0,H,Man. City,2-2,Bayern
2021-22,114,9,Benfica,Liverpool,,1.0,3.0,-2.0,A,Liverpool,3-3,Man City
2021-22,115,9,Chelsea,Real Madrid,,1.0,3.0,-2.0,A,Real Madrid,2-1,Dortmund
2021-22,116,9,Villarreal,Bayern,,1.0,0.0,1.0,H,Villarreal,2-3,Paris
2021-22,117,10,Bayern,Villarreal,,1.0,1.0,0.0,D,Draw,6-4,Paris
2021-22,118,10,Real Madrid,Chelsea,,2.0,3.0,-1.0,A,Chelsea,4-5,Dortmund
2021-22,119,10,Liverpool,Benfica,,3.0,3.0,0.0,D,Draw,4-4,Man City
2021-22,120,10,Atlético,Man. City,,0.0,0.0,0.0,D,Draw,2-3,Bayern
2021-22,121,11,Man. City,Real Madrid,,4.0,3.0,1.0,H,Man. City,2-2,Real Madrid
2021-22,122,11,Liverpool,Villarreal,,2.0,0.0,2.0,H,Liverpool,1-0,Dortmund
2021-22,123,12,Villarreal,Liverpool,,2.0,3.0,-1.0,A,Liverpool,2-0,Dortmund
2021-22,124,12,Real Madrid,Man. City,,3.0,1.0,2.0,H,Real Madrid,3-4,Real Madrid
2021-22,125,13,Liverpool,Real Madrid,,0.0,1.0,-1.0,A,Real Madrid,,
2022-23,1,1,Dinamo Zagreb,Chelsea,Group E,1.0,0.0,1.0,H,Dinamo Zagreb,,
2022-23,2,1,Dortmund,Copenhagen,Group G,3.0,0.0,3.0,H,Dortmund,,
2022-23,3,1,Salzburg,Milan,Group E,1.0,1.0,0.0,D,Draw,,
2022-23,4,1,Celtic,Real Madrid,Group F,0.0,3.0,-3.0,A,Real Madrid,,
2022-23,5,1,Leipzig,Shakhtar Donetsk,Group F,1.0,4.0,-3.0,A,Shakhtar Donetsk,,
2022-23,6,1,Sevilla,Man City,Group G,0.0,4.0,-4.0,A,Man City,,
2022-23,7,1,Paris,Juventus,Group H,2.0,1.0,1.0,H,Paris,,
2022-23,8,1,Benfica,M. Haifa,Group H,2.0,0.0,2.0,H,Benfica,,
2022-23,9,1,Ajax,Rangers,Group A,4.0,0.0,4.0,H,Ajax,,
2022-23,10,1,Frankfurt,Sporting CP,Group D,0.0,3.0,-3.0,A,Sporting CP,,
2022-23,11,1,Napoli,Liverpool,Group A,4.0,1.0,3.0,H,Napoli,,
2022-23,12,1,Atlético,Porto,Group B,2.0,1.0,1.0,H,Atlético,,
2022-23,13,1,Club Brugge,Leverkusen,Group B,1.0,0.0,1.0,H,Club Brugge,,
2022-23,14,1,Barcelona,Plzen,Group C,5.0,1.0,4.0,H,Barcelona,,
2022-23,15,1,Inter,Bayern,Group C,0.0,2.0,-2.0,A,Bayern,,
2022-23,16,1,Tottenham,Marseille,Group D,2.0,0.0,2.0,H,Tottenham,,
2022-23,17,2,Plzen,Inter,Group C,0.0,2.0,-2.0,A,Inter,,
2022-23,18,2,Sporting CP,Tottenham,Group D,2.0,0.0,2.0,H,Sporting CP,,
2022-23,19,2,Liverpool,Ajax,Group A,2.0,1.0,1.0,H,Liverpool,,
2022-23,21,2,Porto,Club Brugge,Group B,0.0,4.0,-4.0,A,Club Brugge,,
2022-23,22,2,Leverkusen,Atlético,Group B,2.0,0.0,2.0,H,Leverkusen,,
2022-23,23,2,Bayern,Barcelona,Group C,2.0,0.0,2.0,H,Bayern,,
2022-23,24,2,Marseille,Frankfurt,Group D,0.0,1.0,-1.0,A,Frankfurt,,
2022-23,25,2,Milan,Dinamo Zagreb,Group E,3.0,1.0,2.0,H,Milan,,
2022-23,26,2,Shakhtar Donetsk,Celtic,Group F,1.0,1.0,0.0,D,Draw,,
2022-23,20,2,Rangers,Napoli,Group A,0.0,3.0,-3.0,A,Napoli,,
2022-23,27,2,Chelsea,Salzburg,Group E,1.0,1.0,0.0,D,Draw,,
2022-23,28,2,Real Madrid,Leipzig,Group F,2.0,0.0,2.0,H,Real Madrid,,
2022-23,29,2,Man City,Dortmund,Group G,2.0,1.0,1.0,H,Man City,,
2022-23,30,2,Copenhagen,Sevilla,Group G,0.0,0.0,0.0,D,Draw,,
2022-23,31,2,Juventus,Benfica,Group H,1.0,2.0,-1.0,A,Benfica,,
2022-23,32,2,M. Haifa,Paris,Group H,1.0,3.0,-2.0,A,Paris,,
2022-23,33,3,Bayern,Plzen,Group C,5.0,0.0,5.0,H,Bayern,,
2022-23,34,3,Marseille,Sporting CP,Group D,4.0,1.0,3.0,H,Marseille,,
2022-23,35,3,Liverpool,Rangers,Group A,2.0,0.0,2.0,H,Liverpool,,
2022-23,36,3,Ajax,Napoli,Group A,1.0,6.0,-5.0,A,Napoli,,
2022-23,37,3,Porto,Leverkusen,Group B,2.0,0.0,2.0,H,Porto,,
2022-23,38,3,Club Brugge,Atlético,Group B,2.0,0.0,2.0,H,Club Brugge,,
2022-23,39,3,Inter,Barcelona,Group C,1.0,0.0,1.0,H,Inter,,
2022-23,40,3,Frankfurt,Tottenham,Group D,0.0,0.0,0.0,D,Draw,,
2022-23,41,3,Salzburg,Dinamo Zagreb,Group E,1.0,0.0,1.0,H,Salzburg,,
2022-23,42,3,Leipzig,Celtic,Group F,3.0,1.0,2.0,H,Leipzig,,
2022-23,43,3,Chelsea,Milan,Group E,3.0,0.0,3.0,H,Chelsea,,
2022-23,44,3,Real Madrid,Shakhtar Donetsk,Group F,2.0,1.0,1.0,H,Real Madrid,,
2022-23,45,3,Man City,Copenhagen,Group G,5.0,0.0,5.0,H,Man City,,
2022-23,46,3,Sevilla,Dortmund,Group G,1.0,4.0,-3.0,A,Dortmund,,
2022-23,47,3,Juventus,M. Haifa,Group H,3.0,1.0,2.0,H,Juventus,,
2022-23,48,3,Benfica,Paris,Group H,1.0,1.0,0.0,D,Draw,,
2022-23,49,4,Copenhagen,Man City,Group G,0.0,0.0,0.0,D,Draw,,
2022-23,50,4,M. Haifa,Juventus,Group H,2.0,0.0,2.0,H,M. Haifa,,
2022-23,51,4,Dinamo Zagreb,Salzburg,Group E,1.0,1.0,0.0,D,Draw,,
2022-23,52,4,Milan,Chelsea,Group E,0.0,2.0,-2.0,A,Chelsea,,
2022-23,53,4,Shakhtar Donetsk,Real Madrid,Group F,1.0,1.0,0.0,D,Draw,,
2022-23,54,4,Celtic,Leipzig,Group F,0.0,2.0,-2.0,A,Leipzig,,
2022-23,55,4,Dortmund,Sevilla,Group G,1.0,1.0,0.0,D,Draw,,
2022-23,56,4,Paris,Benfica,Group H,1.0,1.0,0.0,D,Draw,,
2022-23,57,4,Napoli,Ajax,Group A,4.0,2.0,2.0,H,Napoli,,
2022-23,58,4,Atlético,Club Brugge,Group B,0.0,0.0,0.0,D,Draw,,
2022-23,59,4,Rangers,Liverpool,Group A,1.0,7.0,-6.0,A,Liverpool,,
2022-23,60,4,Leverkusen,Porto,Group B,0.0,3.0,-3.0,A,Porto,,
2022-23,61,4,Barcelona,Inter,Group C,3.0,3.0,0.0,D,Draw,,
2022-23,62,4,Plzen,Bayern,Group C,2.0,4.0,-2.0,A,Bayern,,
2022-23,63,4,Tottenham,Frankfurt,Group D,3.0,2.0,1.0,H,Tottenham,,
2022-23,64,4,Sporting CP,Marseille,Group D,0.0,2.0,-2.0,A,Marseille,,
2022-23,65,5,Salzburg,Chelsea,Group E,1.0,2.0,-1.0,A,Chelsea,,
2022-23,66,5,Sevilla,Copenhagen,Group G,3.0,0.0,3.0,H,Sevilla,,
2022-23,67,5,Dinamo Zagreb,Milan,Group E,0.0,4.0,-4.0,A,Milan,,
2022-23,68,5,Celtic,Shakhtar Donetsk,Group F,1.0,1.0,0.0,D,Draw,,
2022-23,69,5,Leipzig,Real Madrid,Group F,3.0,2.0,1.0,H,Leipzig,,
2022-23,70,5,Dortmund,Man City,Group G,0.0,0.0,0.0,D,Draw,,
2022-23,71,5,Paris,M. Haifa,Group H,7.0,2.0,5.0,H,Paris,,
2022-23,72,5,Benfica,Juventus,Group H,4.0,3.0,1.0,H,Benfica,,
2022-23,73,5,Club Brugge,Porto,Group B,0.0,4.0,-4.0,A,Porto,,
2022-23,74,5,Inter,Plzen,Group C,4.0,0.0,4.0,H,Inter,,
2022-23,75,5,Napoli,Rangers,Group A,3.0,0.0,3.0,H,Napoli,,
2022-23,76,5,Ajax,Liverpool,Group A,0.0,3.0,-3.0,A,Liverpool,,
2022-23,77,5,Atlético,Leverkusen,Group B,2.0,2.0,0.0,D,Draw,,
2022-23,78,5,Barcelona,Bayern,Group C,0.0,3.0,-3.0,A,Bayern,,
2022-23,79,5,Tottenham,Sporting CP,Group D,1.0,1.0,0.0,D,Draw,,
2022-23,80,5,Frankfurt,Marseille,Group D,2.0,1.0,1.0,H,Frankfurt,,
2022-23,81,6,Porto,Atlético,Group B,2.0,1.0,1.0,H,Porto,,
2022-23,82,6,Leverkusen,Club Brugge,Group B,0.0,0.0,0.0,D,Draw,,
2022-23,83,6,Liverpool,Napoli,Group A,2.0,0.0,2.0,H,Liverpool,,
2022-23,84,6,Rangers,Ajax,Group A,1.0,3.0,-2.0,A,Ajax,,
2022-23,85,6,Bayern,Inter,Group C,2.0,0.0,2.0,H,Bayern,,
2022-23,86,6,Plzen,Barcelona,Group C,2.0,4.0,-2.0,A,Barcelona,,
2022-23,87,6,Sporting CP,Frankfurt,Group D,1.0,2.0,-1.0,A,Frankfurt,,
2022-23,88,6,Marseille,Tottenham,Group D,1.0,2.0,-1.0,A,Tottenham,,
2022-23,89,6,Real Madrid,Celtic,Group F,5.0,1.0,4.0,H,Real Madrid,,
2022-23,90,6,Shakhtar Donetsk,Leipzig,Group F,0.0,4.0,-4.0,A,Leipzig,,
2022-23,91,6,Chelsea,Dinamo Zagreb,Group E,2.0,1.0,1.0,H,Chelsea,,
2022-23,92,6,Milan,Salzburg,Group E,4.0,0.0,4.0,H,Milan,,
2022-23,93,6,Man City,Sevilla,Group G,3.0,1.0,2.0,H,Man City,,
2022-23,94,6,Copenhagen,Dortmund,Group G,1.0,1.0,0.0,D,Draw,,
2022-23,95,6,Juventus,Paris,Group H,1.0,2.0,-1.0,A,Paris,,
2022-23,96,6,M. Haifa,Benfica,Group H,1.0,6.0,-5.0,A,Benfica,,
2022-23,97,7,Milan,Tottenham,,1.0,0.0,1.0,H,Milan,0-1,Real Madrid
2022-23,98,7,Paris,Bayern,,0.0,1.0,-1.0,A,Bayern,1-3,Man City
2022-23,99,7,Club Brugge,Benfica,,0.0,2.0,-2.0,A,Benfica,1-0,Bayern
2022-23,100,7,Dortmund,Chelsea,,1.0,0.0,1.0,H,Dortmund,2-0,Paris
2022-23,101,7,Liverpool,Real Madrid,,2.0,5.0,-3.0,A,Real Madrid,1-0,Inter
2022-23,102,7,Frankfurt,Napoli,,0.0,2.0,-2.0,A,Napoli,1-1,Dortmund
2022-23,103,7,Leipzig,Man City,,1.0,1.0,0.0,D,Draw,1-0,
2022-23,104,7,Inter,Porto,,1.0,0.0,1.0,H,Inter,1-1,Barcelona
2022-23,105,8,Benfica,Club Brugge,,5.0,1.0,4.0,H,Benfica,1-3,Bayern
2022-23,106,8,Chelsea,Dortmund,,2.0,0.0,2.0,H,Chelsea,4-1,Paris
2022-23,108,8,Bayern,Paris,,2.0,0.0,2.0,H,Bayern,2-6,Man City
2022-23,107,8,Tottenham,Milan,,0.0,0.0,0.0,D,Draw,1-2,Real Madrid
2022-23,109,8,Man City,Leipzig,,7.0,0.0,7.0,H,Man City,1-1,
2022-23,110,8,Porto,Inter,,0.0,0.0,0.0,D,Draw,2-4,Barcelona
2022-23,111,8,Real Madrid,Liverpool,,1.0,0.0,1.0,H,Real Madrid,2-2,Inter
2022-23,112,8,Napoli,Frankfurt,,3.0,0.0,3.0,H,Napoli,1-3,Dortmund
2022-23,113,9,Benfica,Inter,,0.0,2.0,-2.0,A,Inter,2-2,Bayern
2022-23,114,9,Man City,Bayern,,3.0,0.0,3.0,H,Man City,3-3,Man City
2022-23,115,9,Real Madrid,Chelsea,,2.0,0.0,2.0,H,Real Madrid,2-1,Dortmund
2022-23,116,9,Milan,Napoli,,1.0,0.0,1.0,H,Milan,2-3,Paris
2022-23,117,10,Napoli,Milan,,1.0,1.0,0.0,D,Draw,6-4,Paris
