season,match_number,round_number,date_utc,location,home_team,away_team,group,home_goals,away_goals,source_url,total_goals,goal_difference_home,result_90min
2021-22,124,12,2022-05-04 19:00:00+00:00,Estadio Santiago Bernabéu,Real Madrid,Man. City,,3,1,https://fixturedownload.com/feed/json/champions-league-2021,4,2,H
2021-22,125,13,2022-05-28 19:00:00+00:00,Stade de France,Liverpool,Real Madrid,,0,1,https://fixturedownload.com/feed/json/champions-league-2021,1,-1,A
2022-23,1,1,2022-09-06 16:45:00+00:00,Stadion Maksimir,Dinamo Zagreb,Chelsea,Group E,1,0,https://fixturedownload.com/feed/json/champions-league-2022,1,1,H
2022-23,2,1,2022-09-06 16:45:00+00:00,BVB Stadion Dortmund,Dortmund,Copenhagen,Group G,3,0,https://fixturedownload.com/feed/json/champions-league-2022,3,3,H
2022-23,3,1,2022-09-06 19:00:00+00:00,Stadion Salzburg,Salzburg,Milan,Group E,1,1,https://fixturedownload.com/feed/json/champions-league-2022,2,0,D
2022-23,4,1,2022-09-06 19:00:00+00:00,Celtic Park,Celtic,Real Madrid,Group F,0,3,https://fixturedownload.com/feed/json/champions-league-2022,3,-3,A
2022-23,5,1,2022-09-06 19:00:00+00:00,RB Arena,Leipzig,Shakhtar Donetsk,Group F,1,4,https://fixturedownload.com/feed/json/champions-league-2022,5,-3,A
2022-23,6,1,2022-09-06 19:00:00+00:00,Estadio Ramón Sánchez-Pizjuán,Sevilla,Man City,Group G,0,4,https://fixturedownload.com/feed/json/champions-league-2022,4,-4,A
2022-23,7,1,2022-09-06 19:00:00+00:00,Parc des Princes,Paris,Juventus,Group H,2,1,https://fixturedownload.com/feed/json/champions-league-2022,3,1,H
2022-23,8,1,2022-09-06 19:00:00+00:00,Estádio do SL Benfica,Benfica,M. Haifa,Group H,2,0,https://fixturedownload.com/feed/json/champions-league-2022,2,2,H
2022-23,9,1,2022-09-07 16:45:00+00:00,Johan Cruijff ArenA,Ajax,Rangers,Group A,4,0,https://fixturedownload.com/feed/json/champions-league-2022,4,4,H
2022-23,10,1,2022-09-07 16:45:00+00:00,Frankfurt Stadion,Frankfurt,Sporting CP,Group D,0,3,https://fixturedownload.com/feed/json/champions-league-2022,3,-3,A
2022-23,11,1,2022-09-07 19:00:00+00:00,Stadio Diego Armando Maradona,Napoli,Liverpool,Group A,4,1,https://fixturedownload.com/feed/json/champions-league-2022,5,3,H
2022-23,12,1,2022-09-07 19:00:00+00:00,Estadio Metropolitano,Atlético,Porto,Group B,2,1,https://fixturedownload.com/feed/json/champions-league-2022,3,1,H
2022-23,13,1,2022-09-07 19:00:00+00:00,Jan Breydelstadion,Club Brugge,Leverkusen,Group B,1,0,https://fixturedownload.com/feed/json/champions-league-2022,1,1,H
2022-23,14,1,2022-09-07 19:00:00+00:00,Camp Nou,Barcelona,Plzen,Group C,5,1,https://fixturedownload.com/feed/json/champions-league-2022,6,4,H
2022-23,15,1,2022-09-07 19:00:00+00:00,Stadio San Siro,Inter,Bayern,Group C,0,2,https://fixturedownload.com/feed/json/champions-league-2022,2,-2,A
2022-23,16,1,2022-09-07 19:00:00+00:00,Tottenham Hotspur Stadium,Tottenham,Marseille,Group D,2,0,https://fixturedownload.com/feed/json/champions-league-2022,2,2,H
2022-23,17,2,2022-09-13 16:45:00+00:00,Stadion mesta Plzne,Plzen,Inter,Group C,0,2,https://fixturedownload.com/feed/json/champions-league-2022,2,-2,A
2022-23,18,2,2022-09-13 16:45:00+00:00,Estádio José Alvalade,Sporting CP,Tottenham,Group D,2,0,https://fixturedownload.com/feed/json/champions-league-2022,2,2,H
2022-23,19,2,2022-09-13 19:00:00+00:00,Anfield,Liverpool,Ajax,Group A,2,1,https://fixturedownload.com/feed/json/champions-league-2022,3,1,H
2022-23,21,2,2022-09-13 19:00:00+00:00,Estádio do Dragão,Porto,Club Brugge,Group B,0,4,https://fixturedownload.com/feed/json/champions-league-2022,4,-4,A
2022-23,22,2,2022-09-13 19:00:00+00:00,BayArena,Leverkusen,Atlético,Group B,2,0,https://fixturedownload.com/feed/json/champions-league-2022,2,2,H
2022-23,23,2,2022-09-13 19:00:00+00:00,Fußball Arena München,Bayern,Barcelona,Group C,2,0,https://fixturedownload.com/feed/json/champions-league-2022,2,2,H
2022-23,24,2,2022-09-13 19:00:00+00:00,Stade de Marseille,Marseille,Frankfurt,Group D,0,1,https://fixturedownload.com/feed/json/champions-league-2022,1,-1,A
2022-23,25,2,2022-09-14 16:45:00+00:00,Stadio San Siro,Milan,Dinamo Zagreb,Group E,3,1,https://fixturedownload.com/feed/json/champions-league-2022,4,2,H
2022-23,26,2,2022-09-14 16:45:00+00:00,Municipal Stadium of Legia Warszawa,Shakhtar Donetsk,Celtic,Group F,1,1,https://fixturedownload.com/feed/json/champions-league-2022,2,0,D
2022-23,20,2,2022-09-14 19:00:00+00:00,Ibrox Stadium,Rangers,Napoli,Group A,0,3,https://fixturedownload.com/feed/json/champions-league-2022,3,-3,A
2022-23,27,2,2022-09-14 19:00:00+00:00,Stamford Bridge,Chelsea,Salzburg,Group E,1,1,https://fixturedownload.com/feed/json/champions-league-2022,2,0,D
2022-23,28,2,2022-09-14 19:00:00+00:00,Estadio Santiago Bernabéu,Real Madrid,Leipzig,Group F,2,0,https://fixturedownload.com/feed/json/champions-league-2022,2,2,H
2022-23,29,2,2022-09-14 19:00:00+00:00,City of Manchester Stadium,Man City,Dortmund,Group G,2,1,https://fixturedownload.com/feed/json/champions-league-2022,3,1,H
2022-23,30,2,2022-09-14 19:00:00+00:00,Parken,Copenhagen,Sevilla,Group G,0,0,https://fixturedownload.com/feed/json/champions-league-2022,0,0,D
2022-23,31,2,2022-09-14 19:00:00+00:00,Juventus Stadium,Juventus,Benfica,Group H,1,2,https://fixturedownload.com/feed/json/champions-league-2022,3,-1,A
2022-23,32,2,2022-09-14 19:00:00+00:00,Sammy Ofer Stadium,M. Haifa,Paris,Group H,1,3,https://fixturedownload.com/feed/json/champions-league-2022,4,-2,A
2022-23,33,3,2022-10-04 16:45:00+00:00,Fußball Arena München,Bayern,Plzen,Group C,5,0,https://fixturedownload.com/feed/json/champions-league-2022,5,5,H
2022-23,34,3,2022-10-04 16:45:00+00:00,Stade de Marseille,Marseille,Sporting CP,Group D,4,1,https://fixturedownload.com/feed/json/champions-league-2022,5,3,H
2022-23,35,3,2022-10-04 19:00:00+00:00,Anfield,Liverpool,Rangers,Group A,2,0,https://fixturedownload.com/feed/json/champions-league-2022,2,2,H
